id,prediction,polarity,subjectivity,compound,neg,neu,pos,mood,tweet,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls,emoji
1080356310812708864,1,0.0,0.0,0.0,0.0,1.0,0.0,neutral,thats word,Wed Jan 02 06:53:11 +0000 2019,1669,5533,107,False,0,history regime forces got together plotted desecrate,Somewhere in the Galaxy,3,0,0,1,
1081014133158424576,1,-0.06,0.88,-0.4215,0.256,0.6,0.14400000000000002,dominance,theez selfish called leaders ideology picked thr choice philthy rich kept thr cast poverty line fr theez years,Fri Jan 04 02:27:08 +0000 2019,829,6839,32,False,1,win seats,Under The Sea,8,0,0,1,
1084254676097355777,1,0.37,0.7,0.4019,0.0,0.597,0.40299999999999997,joy,namo need field clean candidates,Sun Jan 13 01:03:53 +0000 2019,11538,5022,179,False,0,asserting single scam government pm modi proof government run without corruption,Pune India ,4,4,0,0,
1077859080037896192,1,0.0,0.0,-0.7003,0.396,0.519,0.084,arousal,want fool someone learn done phd making fools people going do…,Wed Dec 26 09:30:04 +0000 2018,318,321,87,False,12,want fool someone learn done phd making fools people going,Hyderabad India,0,2,0,0,dominance
1097068231213236224,1,0.4,0.9,0.3182,0.0,0.635,0.365,sadness,cue us reelect huge margins,Sun Feb 17 09:40:23 +0000 2019,103144,57197,496,False,0,wants,India,2,2,0,0,
1084343761528868869,1,0.0,0.0,0.0,0.0,1.0,0.0,neutral,asked workers message govt’s core programmes people contact mil…,Sun Jan 13 06:57:53 +0000 2019,3862,2300,62,False,5,asked workers message govt’s core programmes people contact million govt’s schemes,Mathura,0,3,0,0,
1085685327237328896,1,-0.5,1.0,-0.4215,0.359,0.6409999999999999,0.0,dominance,ill star campaigner work lord ram,Wed Jan 16 23:48:47 +0000 2019,71,110,4,False,0,admitted aiims swine flu us treatment aiims admitted noida due fever praying speedy recovery election sick,Unknown,5,1,0,0,joy
1083022380979482627,1,0.35,0.65,0.1027,0.261,0.435,0.304,anger,pm ji ji true deny renomination,Wed Jan 09 15:27:11 +0000 2019,9,1634,1,False,0,continuing pace witnessed days trailer thn congress’ highest tally record independent india,Mumbai India,2,13,0,1,
1088172826169958402,1,0.3,0.1,0.5574,0.0,0.217,0.7829999999999999,joy,makes laugh,Wed Jan 23 20:33:13 +0000 2019,320,931,20,False,0,effort doesnt success success result effort,Unknown,3,0,0,0,
1098470674279161857,1,-0.33,0.67,-0.1027,0.155,0.727,0.11800000000000001,dominance,hardhitting reality may want pm post india seriously needs prime…,Thu Feb 21 06:33:12 +0000 2019,46508,22460,2328,False,3,hardhitting reality may want pm post india seriously needs prime minister india term,Unknown,2,2,0,0,
