id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1080660062387855360,RT @Marathi_Rash: Now SS is challenging AS.. Late night TF,Thu Jan 03 03:00:11 +0000 2019,9050,799,75,False,1,Now SS is challenging AS.. Late night TF,Unknown,1,1,0,1
1080534319330820096,Now SS is challenging AS.. Late night TF,Wed Jan 02 18:40:31 +0000 2019,7569,40142,23834,False,1,,Mumbai,1,0,0,1
1078665329629450240,BJP and Congress’ war to rule India has taken a social turn with their wars on Twitter. BJP tweeted the trailer of with a caption that invited backlash.,Fri Dec 28 14:53:49 +0000 2018,50,787,24,False,0,,Mumbai India,2,0,0,1
1078643852792127490,The accidental primeminister,Fri Dec 28 13:28:29 +0000 2018,54,278,53,False,0,,Muzaffarpur,1,0,0,0
1077507584427466752,"The new Political Narrative: Farmers vs Crony Capitalists!!! Congress has got it right, returning land taken from adivasi farmers 4 a Tata Project.",Tue Dec 25 10:13:21 +0000 2018,1984,10388,4223,False,0,,Goa,7,0,0,1
1078194952276987904,"Yoga guru has said it was ""very difficult"" to predict the country's next Prime Minister in view of the current political situation.",Thu Dec 27 07:44:43 +0000 2018,339,1854,847,False,2,,India,6,0,0,1
1080827264038666242,@narendramodi Vote for @BJP4Gujarat @INCGujarat 👇👍✌️✌️💪🙏,Thu Jan 03 14:04:35 +0000 2019,6693,7817,1453,False,0,,India,8,3,0,1
1080803921709301760,"3 months for ,every where fights over religious sentiments began . This country will never change in term of dirty By the way 9 years old raped and murdered in @sardesairajdeep",Thu Jan 03 12:31:49 +0000 2019,3014,245,1088,False,0,,Hyderabad India,10,1,0,0
1080775174939496449,Do You Need Modi Once More ? @BJP4India @BJP4Karnataka @INCIndia @INCKarnataka @janathadals,Thu Jan 03 10:37:36 +0000 2019,9,5674,152,False,0,,Bengaluru India,7,5,0,0
1080764629674934273,"RT @abpnewstv: : After Congress, Shiv Sena pounces on BJP over JPC for Rafale",Thu Jan 03 09:55:42 +0000 2019,48,7827,80,False,20,": After Congress, Shiv Sena pounces on BJP over JPC for Rafale",jhansi (up),2,1,0,1
1080756187753336833,"""The understanding between Congress &amp; BJP is the reason for our MPs suspension"", Dy Speaker Thambidurai. ""It's a match fixing"", he added @News18TamilNadu",Thu Jan 03 09:22:09 +0000 2019,9514,4531,1554,False,0,,New Delhi,1,1,0,0
1080745597806604289,E-Paper For a detailed Version. Please log on to िला ुनावआयोग ाजस्थान ्पर्क ुर,Thu Jan 03 08:40:04 +0000 2019,3,409,18,False,0,,India,21,0,0,1
1080693801751072768,Speaker scolded the MPs for “childish behaviour”,Thu Jan 03 05:14:15 +0000 2019,106,282753,494952,False,0,,New Delhi India,7,0,0,1
1080681289466884096,RT @manishBJPUP: Modi govt has been passed in When we mean “Women Empowerment” we prove it. &amp; for Congress who…,Thu Jan 03 04:24:32 +0000 2019,2272,754,25,False,28,Modi govt has been passed in When we mean “Women Empowerment” we prove it. &amp; for Congress who opposed the bill please note that 20 Islamic country has banned &amp; India being “Secular” country should protect the interest of every individual.,Basti India,2,1,0,0
1080632254110396417,unsure about of 2019 Sabha ?,Thu Jan 03 01:09:41 +0000 2019,3061,14053,5098,False,0,,Muzaffarpur Bihar,10,0,0,1
1080549978328584192,"Govt open to suggestions on triple talaq bill, says Prasad",Wed Jan 02 19:42:45 +0000 2019,59,47280,635,False,0,,Unknown,11,0,0,1
1080521288383254528,"Rahul gandhi - in all these media and bjp and congress twitter drama, the common man will have the last laugh as usual in 4 months. Knock it off and go to sleep.",Wed Jan 02 17:48:44 +0000 2019,7,45,1,False,0,,Unknown,3,0,0,0
1080460224199159808,@arunjaitley was at his brilliant best in debate today. Nobody has ability to debate &amp; defeat opposition in argument like him. He destroyed the antics &amp; political stunts of @RahulGandhi.🙌 @BJP4India,Wed Jan 02 13:46:06 +0000 2019,29385,632,1577,False,5,,Gujarat India,8,3,0,0
1080454113727602688,Today is like general candidate who needs 272 seats in and 123 in to win and is like a /ST only 30 seats required to take India back to Mugal era.,Wed Jan 02 13:21:49 +0000 2019,3105,2519,49,False,0,,Bharat,8,0,0,0
