id,prediction,polarity,subjectivity,compound,neg,neu,pos,mood,tweet,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls,emoji
1099559554294079488,1,0.00,0.00,0.34,0.0,0.769,0.231,dominance,move ahead polls congress makes army fount national security,Sun Feb 24 06:40:01 +0000 2019,672,907,928,False,2,move ahead polls congress makes army fount national security,Jammu And Kashmir,2,2,0,0,
1099219482348740608,1,0.40,0.75,0.3182,0.0,0.635,0.365,dominance,epaper detailed version please log,Sat Feb 23 08:08:41 +0000 2019,3,477,20,False,0,move ahead polls congress makes army fount national security,India,22,0,0,1,
1099183210897043456,1,0.50,1.00,0.4588,0.0,0.727,0.273,dominance,congress dmk set announce grand alliance tamil nadu s.jaganmohanreddy,Sat Feb 23 05:44:33 +0000 2019,0,32,0,False,0,move ahead polls congress makes army fount national security,Pune India,13,0,0,1,
1098993221378535424,1,0.00,0.00,0.34,0.0,0.789,0.211,dominance,move ahead polls congress makes army fount national security htt…,Fri Feb 22 17:09:36 +0000 2019,672,907,928,False,6,move ahead polls congress makes army fount national security,Jammu And Kashmir,1,2,0,0,
1098872344028811265,1,0.00,0.00,0.34,0.0,0.806,0.194,dominance,dailyo_ move ahead polls congress makes army fount national security david_devadas,Fri Feb 22 09:09:17 +0000 2019,4820,265846,8745,False,0,move ahead polls congress makes army fount national security,Unknown,1,0,0,1,
1098792842074484736,1,0.00,0.00,0.0,0.0,1.0,0.0,dominance,congress using imran khans language ravi shankar prasad,Fri Feb 22 03:53:22 +0000 2019,78,4397,5767,False,0,move ahead polls congress makes army fount national security,India,10,2,0,1,
1098290337154457600,1,-0.40,0.70,-0.2023,0.248,0.541,0.212,dominance,kejriwal claimed leaders tired trying convince form alliance party asserting arrangement would result losing seats delhi,Wed Feb 20 18:36:36 +0000 2019,332,521869,1995539,False,4,move ahead polls congress makes army fount national security,Mumbai India,5,0,0,1,
1098274402003603456,1,-0.14,0.50,-0.1779,0.218,0.612,0.17,dominance,getting ready third innings kerala’s constituency led mad hunt find candidate,Wed Feb 20 17:33:17 +0000 2019,332,521869,1995539,False,4,move ahead polls congress makes army fount national security,Mumbai India,7,0,0,1,
1097844292758827009,1,0.35,0.40,0.6808,0.0,0.663,0.337,joy,alliance chances win majority seats parliament election tamil nadu seats expected urs idea,Tue Feb 19 13:04:11 +0000 2019,9671,1390,145,False,1,epaper detailed version please log,PlanetEarth ,14,0,0,0,
1097790063260381184,1,-0.17,0.88,-0.765,0.489,0.389,0.122,dominance,someone soo damn disappointed prospect confirmed defeat congress hands sena maharashtra,Tue Feb 19 09:28:41 +0000 2019,1980,40343,7030,False,0,epaper detailed version please log,Amchi Mumbai,4,0,0,0,
1097759946915991557,1,0.00,0.00,-0.3818,0.302,0.698,0.0,dominance,fight election congress despite differences know tim…,Tue Feb 19 07:29:01 +0000 2019,25013,28571,1063,False,1,fight election congress despite differences know time modi anti congress wave maharashtra seat sharing formula favor jdu share,India,2,1,0,0,
1097754227319828480,1,0.00,0.00,0.4215,0.191,0.508,0.301,dominance,fight election congress despite differences know time modi anti congress wave maharashtra seat sharing formula favor jdu share,Tue Feb 19 07:06:17 +0000 2019,7747,65137,7284,False,1,fight election congress despite differences know time modi anti congress wave maharashtra seat sharing formula favor jdu share,India,4,0,0,0,
1097753522936913923,1,0.00,0.00,-0.3182,0.315,0.685,0.0,sadness,aap leadership weakening alleges mla alka,Tue Feb 19 07:03:29 +0000 2019,0,32,0,False,0,fight election congress despite differences know time modi anti congress wave maharashtra seat sharing formula favor jdu share,Pune India,16,0,0,1,
1097729507090489344,1,0.00,0.00,0.0,0.0,1.0,0.0,joy,joining opening,Tue Feb 19 05:28:03 +0000 2019,57,1565,818,False,0,fight election congress despite differences know time modi anti congress wave maharashtra seat sharing formula favor jdu share,jaipurrajsthan,4,4,0,0,
1097577544243503104,1,0.80,0.75,0.743,0.0,0.488,0.512,dominance,great move towards achieving share seats seats formula,Mon Feb 18 19:24:13 +0000 2019,24327,36812,4156,False,14,fight election congress despite differences know time modi anti congress wave maharashtra seat sharing formula favor jdu share,India,8,50,0,0,
1097456235048304640,1,0.70,0.60,0.4404,0.0,0.775,0.225,dominance,govt(now uri review people good voted figure votes👍 congress govt ac…,Mon Feb 18 11:22:10 +0000 2019,16806,18595,3061,False,1,govt(now uri review people good voted figure votes👍 congress govt accidental prime minister review people votes low count votes👎,Unknown,1,1,0,0,dominance
1097456169839403008,1,0.35,0.45,0.128,0.152,0.717,0.13,dominance,govt(now uri review people good voted figure votes👍 congress govt accidental prime minister review people votes low count votes👎,Mon Feb 18 11:21:55 +0000 2019,16806,18595,3061,False,1,govt(now uri review people good voted figure votes👍 congress govt accidental prime minister review people votes low count votes👎,Unknown,4,0,0,0,dominance
