id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1090967822845456390,RT @MadhaviBhuta: ⁦@rssurjewala⁩ loses...,Thu Jan 31 13:39:32 +0000 2019,3837,3028,168,False,3,⁦@rssurjewala⁩ loses...,मुलुंड पश्चिम मुंबई,3,2,0,0
1090909893618470912,⁦@rssurjewala⁩ loses...,Thu Jan 31 09:49:21 +0000 2019,4827,34258,6094,False,3,,Mumbai.,3,1,0,0
1091317993257091072,Modi vs Rahul - Here are the sentiment analysis to track the popularity index of both PM Narendra Modi and Rahul Gandhi. SRC:,Fri Feb 01 12:50:59 +0000 2019,3,106,18,False,0,,Gurgaon India,11,0,0,1
1093542041605140482,Miracle! instead of to provide interim relief from large burns to and Opposition parties in Delhi after Hon'ble PM's Speech. @BJP4India @theskindoctor13,Thu Feb 07 16:08:34 +0000 2019,20,16,3,False,0,,Dwarka New Delhi,8,2,0,0
1093538243986026497,Prime Minister @narendramodi explained how the Congress was moving phone banking in the government into banks.,Thu Feb 07 15:53:28 +0000 2019,322,232,26,False,8,,वाराणसी भारत,11,1,0,0
1093532427106934785,Who is Our Next Prime Minister Of 🇮🇳India. Please Select Your Choice Given below:-🗳🗳🗳🗳🗳🗳🗳 🗳🗳🗳,Thu Feb 07 15:30:22 +0000 2019,2518,244,65,False,0,,Patna India,7,0,0,0
1093529618928287744,"Genuine claims or ""mahamilawat"" speech? Here are the highlights of where he tears into the Congress, Gandhi family and other members of the opposition. @BJP4India @INCIndia @NarendraModi @RahulGandhi",Thu Feb 07 15:19:12 +0000 2019,83,403501,436791,False,10,,India,4,4,0,0
1093528208459395073,RT @lnglivemagic: Who will win @BJP4India …,Thu Feb 07 15:13:36 +0000 2019,5935,8248,258,False,1,Who will win @BJP4India,India,6,2,0,0
1093527278363992064,"So, she appreciates a minister under Modi but not Modi? But unfortunately, there is no one in Congress to be appreciated too. Complete bankruptcy. Sonia knows BJP is coming back into the power with greater mandate &amp; competition is merely on papers but not on ground.",Thu Feb 07 15:09:54 +0000 2019,43343,25250,485,False,0,,Unknown,1,0,0,0
1093526470650032129,"RT @iarmy40: BJP Govt(Now) URI review 90% people say its good and voted a high figure of 4,40,000 Votes👍 Congress Govt (2004-2014) The acc…",Thu Feb 07 15:06:41 +0000 2019,16623,18386,2985,False,1,"BJP Govt(Now) URI review 90% people say its good and voted a high figure of 4,40,000 Votes👍 Congress Govt (2004-2014) The accidental prime minister review 71% only less people like it and votes are too low in count 47,000 Votes👎",Unknown,0,1,0,0
1093526363439394816,"BJP Govt(Now) URI review 90% people say its good and voted a high figure of 4,40,000 Votes👍 Congress Govt (2004-2014) The accidental prime minister review 71% only less people like it and votes are too low in count 47,000 Votes👎",Thu Feb 07 15:06:16 +0000 2019,16623,18386,2985,False,1,,Unknown,3,0,0,0
1093517291046748167,Odisha govt remote-controlled by @narendramodi : @RahulGandhi @INCIndia @BJP4India @priyankac19,Thu Feb 07 14:30:13 +0000 2019,12,787,62,False,0,,London England,12,5,0,1
1093508565367549952,For Congress: BC is for Before Congress. AD is for After Dynasty. @aajtak @ZeeNewsHindi,Thu Feb 07 13:55:33 +0000 2019,10237,1821,180,False,0,,Bhubaneshwar India,4,2,0,0
1093508564365307904,Who will win @BJP4India,Thu Feb 07 13:55:32 +0000 2019,5935,8248,258,False,1,,India,13,1,0,0
1093503259401220096,“To join wld be like committing suicide....!!!” Said Babasaheb Ambedkar PM @narendramodi at his very best in Where is that Joke who was challenging PM to stand for 5-mins in front of him... @BJP4India,Thu Feb 07 13:34:28 +0000 2019,1935,10295,279,False,0,,New Delhi,3,2,0,0
1093495677949071360,"For Congress, BC is Before Congress. AD is After Dynasty. || Mahagathbandhan is actually Maha Milawaat Sarkaar. The nation will reject such milawaat sarkar and will opt for Clean Sarkaar. || Some brilliant coinages by Modi in Lok Sabha.",Thu Feb 07 13:04:20 +0000 2019,1135,63,13,False,0,,India,3,0,0,0
1093484150760206336,"Very well spoken @M_Lekhi in Lok Sabha today... Factual, aggressive, clarity, full of josh... Takes @INCIndia head on... In the run up to she shd appear on TV on behalf of @BJP4India more often... @AmitShah",Thu Feb 07 12:18:32 +0000 2019,76,5901,5286,False,0,,New Delhi India,3,4,0,0
1093426246396997632,E-Paper For a detailed Version. Please log on to िला ुनावआयोग ाजस्थान ्पर्क ुर,Thu Feb 07 08:28:26 +0000 2019,3,459,20,False,0,,India,21,0,0,1
1093383817497260033,"CP @RahulGandhi, who famously walked up to PM in &amp; hugged him, advised his partymen never to use the word ‘’ against any political adversary. He instead asked his partymen to win over the with Love &amp; Affection, “which is what the Congress stands for”",Thu Feb 07 05:39:50 +0000 2019,4151,4781,1126,False,9,,Guwahati India,4,1,0,0
1093150309340180481,RT @Netaajinews: Call Us For More Info.. …,Wed Feb 06 14:11:58 +0000 2019,908,517,907,False,1,Call Us For More Info..,Baleswar                  ,7,1,0,0
1093147261071179776,"Not-So Good, Not-So Simple Tax @INC @RahulGandhi @PMO @Modi @priyankac19 @bjp4india",Wed Feb 06 13:59:51 +0000 2019,12,787,62,False,0,,London England,15,6,0,0
