W1,W2,W3,W4,F
click,detailed,election,leads+results,338
detailed,election,leads+results,analysis,338
pm,click,detailed,election,255
trends,pm,click,detailed,255
election,trends,pm,click,255
election,trends,click,detailed,119
trends,click,detailed,election,119
fears,terrain,politics,changing,111
thoughtfactory,fears,terrain,politics,111
muslim,women,protection,rights,55
detailed,election,results,analysis,55
women,protection,rights,marriage,55
click,detailed,election,results,51
watch,live,analysis,latest,50
live,analysis,latest,election,50
analysis,latest,election,results,50
dna,technology,use,application,27
transgender,persons,protection,rights,26
technology,use,application,regulation,25
election,results,madhya,pradesh,23
latest,election,results,madhya,23
indian,medical,council,amendment,21
reservation,economically,weaker,section,21
provide,reservation,economically,weaker,20
protection,rights,marriage,passed,19
amendment,provide,reservation,economically,18
constitution,amendment,provide,reservation,18
passes,constitution,amendment,provide,18
madhya,pradesh,chief,minister,17
economically,weaker,section,society,17
lok,passes,constitution,amendment,16
section,society,higher,educational,16
election,results,click,detailed,15
results,click,detailed,election,15
million,people,decide,waste,15
waste,votes,omoyele,sowore,15
exactly,million,people,decide,15
weaker,section,society,higher,15
people,decide,waste,votes,15
society,higher,educational,institutions,15
decide,waste,votes,omoyele,15
votes,omoyele,sowore,slavery,14
lok,speaker,sumitra,mahajan,14
constitution,hundred,twentyfourth,amendment,14
dont,defence,dealings,deal,13
amendment,aadhaar,laws,amendment,13
companies,amendment,aadhaar,laws,13
delhi,international,centre,consumer,13
dealings,dealing,defence,dont,12
dealing,defence,dont,defence,12
winter,session,parliament,lok,12
defence,dont,defence,dealings,12
akp,chair,president,erdoğan,12
passes,constitution,amendment,quota,11
presidential,campaign,ekiti,state,11
slavery,need,leader,integrity,11
kamal,nath,madhya,pradesh,11
latest,election,results,rajasthan,11
sowore,slavery,need,leader,11
defence,dealings,deal,defence,11
need,leader,integrity,vision,11
speaker,sumitra,mahajan,suspends,11
omoyele,sowore,slavery,need,11
discussed,dna,technology,use,10
session,parliament,lok,adjourned,10
arora,reviews,election,preparedness,10
deal,defence,national,security,10
south,south,caravan,rally,10
leader,integrity,vision,yelesowore,10
lok,adjourned,till,pm,10
rally,heads,towards,warri,10
south,caravan,rally,heads,10
difference,dealings,dealing,defence,10
international,centre,consumer,protection,10
defence,national,security,priority,10
sunil,arora,reviews,election,10
reservation,economically,weaker,sections,10
rights,marriage,passed,lok,10
dealings,deal,defence,national,10
caravan,rally,heads,towards,10
amendment,national,medical,commission,10
economically,unreserved,sections,cleared,10
pradesh,chief,minister,kamal,10
passes,constitution,amendment,ayes,9
constitution,amendment,quota,economically,9
aacparty,presidential,campaign,ekiti,9
amendment,delhi,international,centre,9
yelesowore,aacparty,presidential,campaign,9
towards,warri,town,delta,9
national,trust,welfare,persons,9
quota,economically,unreserved,sections,9
heads,towards,warri,town,9
trust,welfare,persons,autism,9
today,discussed,companies,amendment,9
warri,town,delta,state,9
discussed,companies,amendment,aadhaar,9
constitution,amendment,ayes,provide,9
amendment,quota,economically,unreserved,9
chief,minister,kamal,nath,8
islamic,nations,cant,secular,8
tomorrow,adjourned,till,noon,8
government,should,apologise,massacre,8
ias,topper,shah,faesal,8
area,let,revolution,spread,8
south,endorse,omoyele,sowore,8
sumitra,mahajan,suspends,tdp,8
triple,talaq,passed,lok,8
passes,dna,technology,use,8
aacparty,south,south,caravan,8
mistakes,good,honest,candidates,8
lok,passes,triple,talaq,8
campaign,stop,aacparty,south,8
demanded,government,should,apologise,8
till,tomorrow,adjourned,till,8
topper,shah,faesal,resigns,8
grassroots,campaign,stop,aacparty,8
adjourned,till,tomorrow,adjourned,8
stop,aacparty,south,south,8
muslim,women,triple,talaq,8
remove,leprosy,ground,divorce,8
making,silly,mistakes,good,8
sent,joint,select,committee,8
silly,mistakes,good,honest,8
town,delta,state,yelesowore,8
parliament,lok,adjourned,till,8
palsy,mental,retardation,multiple,8
stakeholders,ondo,south,endorse,8
ondo,south,endorse,omoyele,8
latest,election,results,chhattisgarh,8
campaign,area,let,revolution,8
part,indias,political,team,8
autism,palsy,mental,retardation,8
grassroots,campaign,area,let,8
nations,cant,secular,nation,8
president’s,rule,jammu,kashmir,8
women,triple,talaq,passed,8
avoid,making,silly,mistakes,8
personal,laws,amendment,dentists,7
political,capital,surgical,strikes,7
fresh,practice,among,muslims,7
strikes,richest,political,party,7
till,pm,disrupting,tdp,7
latest,election,results,telangana,7
lok,passes,constitutional,amendment,7
amendment,dentists,amendment,national,7
muslims,penal,offence,introduced,7
welfare,persons,autism,palsy,7
surgical,strikes,richest,political,7
cant,secular,nation,india,7
election,commissioner,sunil,arora,7
disrupting,tdp,aiadmk,mps,7
sudip,makes,appeal,smooth,7
adjourned,till,pm,uproar,7
persons,autism,palsy,mental,7
making,political,capital,surgical,7
laws,amendment,delhi,international,7
laws,amendment,dentists,amendment,7
should,vote,aac,party,7
chief,speaks,fraud,constitution,7
aadhaar,laws,amendment,delhi,7
nath,madhya,pradesh,chief,7
look,current,map,voteshare,7
voting,stations,open,days,7
economically,weak,general,category,7
secular,nation,india,request,7
quota,economically,weak,general,7
makes,appeal,smooth,running,7
commissioner,sunil,arora,reviews,7
capital,surgical,strikes,richest,7
state,representative,padma,kuppa,7
shah,faesal,resigns,contest,7
want,hand,hope,ancs,7
aiadmk,mps,suspended,sittings,7
richest,political,party,india,7
practice,among,muslims,penal,7
pm,disrupting,tdp,aiadmk,7
amendment,ayes,provide,reservation,7
among,muslims,penal,offence,7
aimim,chief,speaks,fraud,7
tdp,aiadmk,mps,suspended,7
chief,minister,chandrashekar,rao,7
protection,rights,marriage,introduced,7
should,apologise,massacre,happened,7
adjourned,till,pm,disrupting,7
dentists,amendment,national,medical,7
chief,election,commissioner,sunil,7
prannoy,roy,panel,eerts,7
day,due,continued,protest,6
opposition,parties,different,issues,6
regulation,voice,vote,discussion,6
kalyan,asks,question,vacancies,6
team,longest,election,yatra,6
roy,opposes,imposition,president’s,6
sa’s,voting,stations,open,6
eff,target,crime,gangsterism,6
sumitra,mahajan,continuously,coming,6
adjourned,day,due,continued,6
mental,retardation,multiple,amendment,6
excitedly,waited,visits,lower,6
could,died’,endorses,term,6
students,got,opportunity,visit,6
panel,eerts,special,guests,6
opposes,introduction,laws,amendment,6
pidis,arun,jaitleys,speech,6
sudip,lays,reports,statements,6
opportunity,visit,parliament,india,6
asks,question,vacancies,lower,6
amend,discussed,dna,technology,6
doesn’t,want,could,died’,6
victim,families,protected,privacy,6
true,knowledge,should,shelter,6
question,vacancies,lower,judiciary,6
offender,outs,victim,families,6
international,centre,personal,laws,6
trade,unions,amend,discussed,6
adjourned,till,noon,amid,6
earth,tell,our,true,6
visits,lower,house,parliament,6
speaker,sumitra,mahajan,continuously,6
target,crime,gangsterism,campaign,6
education,economically,upper,castes,6
weaker,sections,general,category,6
died’,endorses,term,sick,6
govts,proposal,amend,act,6
visit,himcom,students,got,6
himcom,visit,himcom,students,6
faesal,resigns,contest,polls,6
use,application,regulation,personal,6
government,education,economically,upper,6
waited,visits,lower,house,6
lays,reports,statements,standing,6
political,party,india,seeking,6
ashok,gehlot,rajasthan,chief,6
india,excitedly,waited,visits,6
percent,government,education,economically,6
monetising,routes,air,india,6
trs,chief,chandrashekar,rao,6
india,request,should,looked,6
request,should,looked,prism,6
come,earth,tell,our,6
god,come,earth,tell,6
unions,amend,discussed,dna,6
protest,opposition,parties,different,6
historic,day,india,amendment,6
reports,statements,standing,committee,6
amend,act,union,ministrys,6
continued,protest,opposition,parties,6
january,sa’s,voting,stations,6
nation,india,request,should,6
top,story,right,read,6
families,protected,privacy,laws,6
refresher,party,needs,seats,6
party,india,seeking,donations,6
final,january,sa’s,voting,6
god,doesn’t,want,could,6
goa,govts,proposal,amend,6
visit,parliament,india,excitedly,6
tell,our,true,knowledge,6
economically,sections,general,category,6
got,opportunity,visit,parliament,6
want,could,died’,endorses,6
provide,reservation,economically,sections,6
our,true,knowledge,should,6
opposes,imposition,president’s,rule,6
political,team,longest,election,6
centre,personal,laws,amendment,6
economically,weaker,sections,general,6
party,needs,seats,majority,6
sudip,speaks,muslim,women,6
imposition,president’s,rule,jammu,6
asks,question,monetising,routes,6
oath,telangana,chief,minister,6
use,application,regulation,voice,6
lok,passes,surrogacy,regulation,6
due,continued,protest,opposition,6
election,commissioner,sy,quraishi,6
time,address,root,causes,6
approved,percent,government,education,6
may,offender,outs,victim,6
outs,victim,families,protected,6
delhi,international,centre,personal,6
kinds,polling,next,years,6
asks,question,sector,psus,6
parliament,india,excitedly,waited,6
indias,political,team,longest,6
economically,weaker,upper,caste,6
question,monetising,routes,air,6
saugata,roy,opposes,imposition,6
ravi,shankar,prasad,law,6
gehlot,rajasthan,chief,minister,6
mahajan,suspends,tdp,aiadmk,6
knowledge,should,shelter,good,6
million,hearts,minds,india,6
endorses,term,sick,almost,6
application,regulation,voice,vote,6
proposal,amend,act,union,6
himcom,students,got,opportunity,6
kalyan,asks,question,sector,6
speaks,muslim,women,protection,6
statements,standing,committee,railways,6
weaker,upper,caste,sections,5
track,live,updates,watch,5
protection,rights,marriage,indian,5
today,introduced,companies,amendment,5
passes,quota,economically,weak,5
within,hours,due,commotion,5
update,data,kind,cost,5
aware,centre,trying,pass,5
introduced,companies,amendment,discussed,5
online,million,hearts,minds,5
agenda,likely,taken,discussion,5
consumer,protection,national,trust,5
independent,vigilance,officer,dda,5
donations,name,it’s,eensive,5
stations,open,days,registration,5
might,aware,centre,trying,5
stake,shailesh,jha,elains,5
watched,stay,tuned,coming,5
topper,resigns,govt,service,5
application,regulation,personal,laws,5
triple,talaq,criminal,offence,5
worth,rs,crore,already,5
heres,exclusive,interview,promo,5
hours,due,commotion,deal,5
special,guests,indepth,analysis,5
proceedings,adjourned,till,noon,5
witnessing,adjournments,prelunch,session,5
ji,nominated,delhi,lok,5
fastest,updates,follow,track,5
issues,relating,rafael,deal,5
results,indepth,analysis,watch,5
fraud,constitution,evidence,empirical,5
reservation,should,economic,today,5
addresses,voting,stations,info,5
religion,rights,women,justice,5
mos,mines,reply,mp,5
indian,politicians,goodies,farmloan,5
economically,section,general,category,5
roy,panel,eerts,special,5
watch,election,coverage,live,5
open,days,registration,updating,5
due,commotion,deal,prompted,5
it’s,eensive,poll,campaign,5
farmloan,waivers,tax,cuts,5
should,looked,prism,politics,5
ward,dipaleseng,municipality,mpumalanga,5
our,special,coverage,live,5
passed,passes,ayes,noes,5
rights,marriage,listed,todays,5
community,religion,rights,women,5
coming,house,house,proceedings,5
days,registration,updating,addresses,5
pm,got,told,shut,5
chief,minister,raman,singh,5
map,voteshare,track,live,5
former,chief,election,commissioner,5
stay,tuned,coming,tomorrow,5
rs,crore,already,signed,5
future,stake,shailesh,jha,5
registered,moved,location,please,5
lok,adjourned,till,noon,5
chief,minister,lal,thanhawla,5
edition,start,early,march,5
special,coverage,live,ndtv,5
govt,service,likely,contest,5
protection,national,trust,welfare,5
today,introduced,aadhaar,laws,5
dear,voters,registered,moved,5
appeal,smooth,running,watch,5
passports,indians,misplaced,pakistan,5
paid,great,man,time,5
entire,reservation,should,economic,5
case,close,free,cm,5
should,economic,today,tomorrow,5
early,march,due,upcoming,5
man,time,daughters,central,5
adjourned,following,protests,several,5
speaks,fraud,constitution,evidence,5
reviews,election,preparedness,haryana,5
tax,cuts,woo,voters,5
protection,rights,marriage,listed,5
would,pm,got,told,5
dipaleseng,municipality,mpumalanga,servants,5
current,map,voteshare,track,5
done,election,analysis,upcoming,5
protests,several,opposition,parties,5
party,agreed,alliance,ahead,5
reservation,economically,general,category,5
ministrys,consideration,union,mos,5
union,mos,mines,reply,5
aadhaar,laws,amendment,discussed,5
keen,housing,market,rejigging,5
india,seeking,donations,name,5
following,protests,several,opposition,5
follow,our,special,coverage,5
indias,longest,election,yatra,5
several,opposition,parties,issues,5
action,follow,our,special,5
till,noon,amid,uproar,5
politicians,goodies,farmloan,waivers,5
centre,trying,pass,amendment,5
vigilance,officer,dda,fact,5
adjourned,till,pm,amid,5
ayes,provide,reservation,economically,5
resigns,govt,service,likely,5
telangana,chief,minister,chandrashekar,5
misplaced,pakistan,commission,tells,5
consideration,union,mos,mines,5
seeking,donations,name,it’s,5
elections,critical,growth,our,5
approves,proclamation,presidents,rule,5
continuously,coming,house,house,5
minister,thawar,chand,gehlot,5
waivers,tax,cuts,woo,5
watch,election,results,ravish,5
ias,topper,resigns,govt,5
our,would,pm,got,5
day,within,hours,due,5
introduced,aadhaar,laws,amendment,5
passes,transgender,persons,protection,5
winner,prannoy,roy,panel,5
amid,majority,opposition,walkout,5
amendment,constitution,passed,passes,5
state,results,wont,affect,5
likely,contest,upcoming,polls,5
act,union,ministrys,consideration,5
name,it’s,eensive,poll,5
peep,our,would,pm,5
updating,addresses,voting,stations,5
kcrs,nephew,harish,rao,5
implement,control,laws,country,5
contest,upcoming,polls,kashmir,5
lok,elections,critical,growth,5
indians,misplaced,pakistan,commission,5
start,early,march,due,5
registration,updating,addresses,voting,5
hal,orders,worth,rs,5
adjourned,day,within,hours,5
visited,ward,dipaleseng,municipality,5
great,man,time,daughters,5
catch,action,follow,our,5
elains,lok,elections,critical,5
misinformed,independent,vigilance,officer,5
amend,national,medical,commission,5
