W1,W2,W3,W4,F
detailed,election,leads+results,analysis,338
click,detailed,election,leads+results,338
trends,pm,click,detailed,255
pm,click,detailed,election,255
election,trends,pm,click,255
trends,click,detailed,election,119
election,trends,click,detailed,119
fears,terrain,politics,changing,114
thoughtfactory,fears,terrain,politics,113
huge,mess,caused,term,68
detailed,election,results,analysis,55
women,protection,rights,marriage,55
muslim,women,protection,rights,55
mess,caused,term,office,52
click,detailed,election,results,51
watch,live,analysis,latest,50
analysis,latest,election,results,50
live,analysis,latest,election,50
closer,want,should,work,31
adding,hands,call,us,31
coming,closer,want,should,31
sir,adding,hands,call,31
hands,call,us,want,31
dna,technology,use,application,30
voting,stations,open,days,27
technology,use,application,regulation,27
year,coming,closer,want,26
transgender,persons,protection,rights,26
read,tweet,call,us,24
glimpses,shining,india,survey,24
january,sa’s,voting,stations,24
sharing,glimpses,shining,india,24
final,january,sa’s,voting,23
pray,read,tweet,call,23
pray,pray,read,tweet,23
time,address,root,causes,23
sir,pray,pray,read,23
media,coverage,update,date,23
stations,open,days,registration,23
call,us,want,you.the,23
sa’s,voting,stations,open,23
election,results,madhya,pradesh,23
latest,election,results,madhya,23
call,us,you.i,want,22
tweet,call,us,you.i,22
near,want,should,work,22
reservation,economically,weaker,section,22
days,registration,updating,addresses,22
open,days,registration,updating,22
registration,updating,addresses,voting,21
updating,addresses,voting,stations,21
indian,medical,council,amendment,21
provide,reservation,economically,weaker,20
lok,passes,constitution,amendment,20
nonmetrop,oz,alp,women,19
coverage,update,date,headline,19
amendment,provide,reservation,economically,19
lnp,primary,nonmetrop,oz,19
protection,rights,marriage,passed,19
ipsos,poll,lnp,primary,19
primary,nonmetrop,oz,alp,19
constitution,amendment,provide,reservation,19
passes,constitution,amendment,provide,19
poll,lnp,primary,nonmetrop,19
points,ipsos,poll,lnp,19
want,should,work,election.which,19
alp,women,lnp,alp,18
ap,elections,dot,news,18
akp,chair,president,erdoğan,18
us,want,you.the,year,18
want,you.the,year,coming,18
israel,resilience,yesh,atid,18
oz,alp,women,lnp,18
work,election.which,strengthen,party,18
economically,weaker,section,society,18
likud,israel,resilience,yesh,18
poll,likud,israel,resilience,18
us,you.i,want,you.the,18
should,work,election.which,strengthen,18
you.the,year,coming,closer,18
year,near,want,should,18
choice,lets,right,time,17
logical,choice,lets,right,17
clinton,logical,choice,lets,17
hillary,rodham,clinton,logical,17
elections,dot,news,link,17
coming,time,stop,disastrous,17
lets,right,time,control,17
releases,dates,postponement,details,17
madhya,pradesh,chief,minister,17
rodham,clinton,logical,choice,17
inec,releases,dates,postponement,17
section,society,higher,educational,16
time,stop,disastrous,count,16
waste,votes,omoyele,sowore,16
million,people,decide,waste,16
top,top,gainers,top,16
election,inec,chairman,meets,16
election,commissioner,sunil,arora,16
inec,chairman,meets,stakeholders,16
top,gainers,top,losers,16
exactly,million,people,decide,16
top,top,top,gainers,16
economist,author,ruchir,sharma,16
stop,disastrous,count,heard,16
people,decide,waste,votes,16
chief,election,commissioner,sunil,16
decide,waste,votes,omoyele,16
registered,vote,click,easy,15
passes,constitution,amendment,quota,15
constitution,hundred,twentyfourth,amendment,15
election,results,click,detailed,15
results,click,detailed,election,15
votes,omoyele,sowore,slavery,15
click,easy,hasslefree,check,15
weaker,section,society,higher,15
society,higher,educational,institutions,15
vote,click,easy,hasslefree,15
coming,time,show,our,14
caused,term,office,coming,14
may,offender,outs,victim,14
would,se,ke,liye,14
you.i,want,you.the,year,14
want,you.the,year,near,14
time,show,our,disapproval,14
economically,unreserved,sections,cleared,14
you.the,year,near,want,14
samajwadi,party,samaj,party,14
