id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1086049703622557696,"'s promises will never change Before 25 years, After 25 years, We will build We will build Ram Mandir . Ram Mandir.",Thu Jan 17 23:56:41 +0000 2019,2814,1062,324,False,2,,mu,2,0,0,0
1086049048845443072,"RT @FinancialXpress: 's congratulates government on , PM thanks him",Thu Jan 17 23:54:05 +0000 2019,85177,106172,1794,False,17,"'s congratulates government on , PM thanks him",KA/CA,4,1,0,0
1086044483651846144,RT @Ar_Vamhatre: 10-year Challenge . See Pics. …,Thu Jan 17 23:35:57 +0000 2019,8295,861148,3625,False,29,10-year Challenge . See Pics.,Bharat ,6,1,0,0
1086043192980529152,RT @Vishal888782: kya movie hai boss! Pochinki() main gusega bhi aur maarega bhi without medkit n knockout (…,Thu Jan 17 23:30:49 +0000 2019,7648,949,266,False,4,"kya movie hai boss! Pochinki() main gusega bhi aur maarega bhi without medkit n knockout ( )@vickykaushal09 as squad leader,@AKASH_ADA as , N at the last ""winner winner chicken dinner""wd @yamigautam @KirtiKulhari",Kashipur India,2,1,0,0
1086039121741651968,RT @GCTCWORLD: The Real Challenge @_ManmohanSingh @narendramodi @PMOIndia …,Thu Jan 17 23:14:38 +0000 2019,9901,43829,1479,False,4,The Real Challenge @_ManmohanSingh @narendramodi @PMOIndia @adgpi,Unknown,4,4,0,0
1086034582405705728,RT @airnewsalerts: PM unveiled Institute of Medical Sciences and Research in Ahmedabad today. Built a…,Thu Jan 17 22:56:36 +0000 2019,5137,3250,67,False,51,"PM unveiled Institute of Medical Sciences and Research in Ahmedabad today. Built at a cost of Rs.750 crore, 17 floor hospital would provide world class services at an affordable price and is linked with . AIR Videos: Yogesh",New Delhi India,2,1,0,0
1086033401063206912,"RT @AmdavadFestival: India’s biggest shopping festival, the Amdavad Shopping Festival, from 17th to 28th Jan 2019, brings together over top…",Thu Jan 17 22:51:54 +0000 2019,3,167,10,False,3,"India’s biggest shopping festival, the Amdavad Shopping Festival, from 17th to 28th Jan 2019, brings together over top brands to offer a unique shopping experience is inaugurated by Prime Minister Shri. Narendra Modi.",India,0,1,0,0
1086032378408157184,The Real Challenge @_ManmohanSingh @narendramodi @PMOIndia @adgpi,Thu Jan 17 22:47:51 +0000 2019,1505,1771,423,False,4,,Delhi India,13,4,0,0
1086029928112435200,RT @joerave: has now become an Liability for of the and have concluded that they are slowly being Engulfed…,Thu Jan 17 22:38:06 +0000 2019,153501,149026,1860,False,19,has now become an Liability for of the and have concluded that they are slowly being Engulfed in a Quicksand designed by Thus he has decided to Incapacitate until the results of the Results. jai ho @POTUS,भारत,3,1,0,0
1086025807947026433,RT @Kalingatv24x7: Supreme Court defers hearing for four weeks on a plea by Zakia Jafri against the clean chit given to PM in…,Thu Jan 17 22:21:44 +0000 2019,169009,342085,1822,False,1,Supreme Court defers hearing for four weeks on a plea by Zakia Jafri against the clean chit given to PM in the 2002 Gujarat riots cases (ANI),Unknown,1,1,0,0
1086025025080029185,"RT @abpnewstv: In Odisha, over 1,000 trees were felled to make a temporary helipad for the upcoming visit of Prime Minister Narendra Modi.…",Thu Jan 17 22:18:38 +0000 2019,3,15,1,False,645,"In Odisha, over 1,000 trees were felled to make a temporary helipad for the upcoming visit of Prime Minister Narendra Modi.",Kolkata ,0,1,0,0
1086019955743698951,"Here comes the fall of regime.... Went from dumb, then deaf &amp; now blind too...🙊🙉🙈",Thu Jan 17 21:58:29 +0000 2019,1531,7440,319,False,0,,Unknown,1,0,0,0
1086012609009238021,"Remember ji said ji bathes wearing raincoat 🙊 How could he know unless he is a peeping Tom? Now he is going to tap your phones,SMS,email's Alas had he peeped into his own bedroom at right time.. All of us would have been spared 🤣 @vaidehisachin",Thu Jan 17 21:29:17 +0000 2019,1531,7440,319,False,0,,Unknown,2,1,0,0
1086011932644122624,Congress 50 year Challenge......from Pappu1 to Pappu 2,Thu Jan 17 21:26:36 +0000 2019,366,1580,619,False,0,,Dallas TX,4,0,0,0
1086010608254824448,Modi’ll defeat arithmetic of ‘Nawabs of Negativity’: @arunjaitley,Thu Jan 17 21:21:20 +0000 2019,3827,240534,4306,False,0,,New Delhi Delhi,6,1,0,1
1086007359065997317,"RT @btcpatna3: Given the banks' ban on crypto, this is a great entry point for Indians into the and your way to the to…",Thu Jan 17 21:08:26 +0000 2019,15,42111,1149,False,1,"Given the banks' ban on crypto, this is a great entry point for Indians into the and your way to the top with little cost. @india @TheOfficialSBI @NewDelhiTimes",Pune India,2,1,0,0
