id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1080489947260317696,Why can't modi ji accept of @RahulGandhi ? Is he afraid ?,Wed Jan 02 15:44:12 +0000 2019,831,1197,160,False,0,,Mumbai,5,1,0,0
1077999066485788679,@RahulGandhi After ...it's time to be . Let's see who wins... or ....,Wed Dec 26 18:46:20 +0000 2018,12,199,152,False,0,,Unknown,5,1,0,0
1077984798054920192,"- Legacy has been started by Congress ""Urea Ghotala""",Wed Dec 26 17:49:38 +0000 2018,13,41,1,False,0,,Unknown,3,0,0,1
1080894566205554688,"RT @prudentgoa: in Lok Sabha over Vishwajit Rane’s alleged audio tape, House adjourned twice, Rahul Gandhi demands clarifica…",Thu Jan 03 18:32:01 +0000 2019,1833,5396,115,False,4,"in Lok Sabha over Vishwajit Rane’s alleged audio tape, House adjourned twice, Rahul Gandhi demands clarification, FM Jaitley asks for authentication of tape @RahulGandhi @arunjaitley @PMOIndia @goacm @visrane @INCIndia @BJP4India",Goa India,2,1,0,0
1080891521551888384,@narendramodi Vs @RahulGandhi Remember 15 min Speech From Rahulji And No-confidence motion defense Of Modiji In @loksabhatv,Thu Jan 03 18:19:55 +0000 2019,28,32,4,False,0,,Truth Planet,2,3,0,0
1080882136893321216,"@RahulGandhi Dear running the economy is a lot more detailed then making paper aeroplanes in the . So far record FDI in 2018, also some really good infrastructure projects planned for 2019 that will undoubtedly create jobs.",Thu Jan 03 17:42:37 +0000 2019,5360,4566,97,False,0,,London England,3,1,0,0
1080882071151788032,RT @NewsMobileIndia: Moment when Congress MPs threw paper planes towards FM @arunjaitley while he was speaking during de…,Thu Jan 03 17:42:22 +0000 2019,638,2131,16,False,2,Moment when Congress MPs threw paper planes towards FM @arunjaitley while he was speaking during debate in (Source:LS TV),Unknown,2,2,0,0
1080880231278202880,RT @ETNOWlive: Who has the upper hand in the face-off in ? Who won this debate? Arun Jailtey or Rahul Gandhi? Post your co…,Thu Jan 03 17:35:03 +0000 2019,5,5,1,False,39,Who has the upper hand in the face-off in ? Who won this debate? Arun Jailtey or Rahul Gandhi? Post your comments below. @ArunJaitley @RahulGandhi @INCIndia @BJP4India @NarendraModi,Unknown,2,1,0,0
1080865076616167425,"Did I just hear someone shout ""Gandhi parivaar chor hai"" ? 😂",Thu Jan 03 16:34:50 +0000 2019,382,245,19,False,0,,India,3,0,0,1
1080853876432097280,RT @memesahaab: The hardest part for Arun Jaitley wasn't giving all the answers. The hardest part was trying not to laugh at Rahul Gandhi…,Thu Jan 03 15:50:20 +0000 2019,104,3,4,False,3,The hardest part for Arun Jaitley wasn't giving all the answers. The hardest part was trying not to laugh at Rahul Gandhi,Unknown,0,1,0,0
1080853828935782410,RT @joharashwin: “Attack with sharpness”and “wrapped with butter” …,Thu Jan 03 15:50:08 +0000 2019,215,159,15,False,4,“Attack with sharpness”and “wrapped with butter”,Unknown,5,1,0,0
1080850787608084481,@IndiaToday reports on latest developments in @RahulGandhi's allegations against PM @narendramodi and @arunjaitley's defence of him.,Thu Jan 03 15:38:03 +0000 2019,70,124,67,False,0,,Unknown,3,4,0,1
1080847756971917314,"RT @indiatvnews: | It is a tragedy for the country that Congress, which was headed by great legends in the past, is today be…",Thu Jan 03 15:26:01 +0000 2019,6826,18050,95,False,279,"| It is a tragedy for the country that Congress, which was headed by great legends in the past, is today being headed by a gentleman who lacks the understanding of a compact aircraft: Finance Minister attacks on in",2G,1,1,0,0
1080841872560377856,RT @GirdharSharma15: @NUJIndiaOrg @OmKrishnayNamah @RahulGandhi @smitaprakash @narendramodi @arunjaitley @BJP4India @INCIndia @ANI @MinhazM…,Thu Jan 03 15:02:38 +0000 2019,27751,112833,1643,False,1,@NUJIndiaOrg @OmKrishnayNamah @RahulGandhi @smitaprakash @narendramodi @arunjaitley @BJP4India @INCIndia @ANI @MinhazMerchant @sardanarohit @The_Hoot @chitraSD @saileshbhatt1 @IndEditorsGuild @ShekharGupta @cmvohra @ravindrabajpai5 @RahulGandhi does not have senses and rationality while speaking. He is unfit to be a . His questioning in today on shows his immaturity and unawareness with the facts of the matter. @narendramodi @Swamy39 @arunjaitley @nsitharaman,Mumbai India,0,10,0,0
1080829271139147776,"RT @GoNews24x7: Go : Uproar in , 19 MPs suspended; Rahul accuses of evading Rafale replies; …",Thu Jan 03 14:12:33 +0000 2019,693,286,56,False,3,"Go : Uproar in , 19 MPs suspended; Rahul accuses of evading Rafale replies; row rocks Assembly; lands rover on far side of moon. For More:",Unknown,4,1,0,0
1080824209813659648,"Go : Uproar in , 19 MPs suspended; Rahul accuses of evading Rafale replies; row rocks Assembly; lands rover on far side of moon. For More:",Thu Jan 03 13:52:27 +0000 2019,1805,18038,5833,False,3,,National Capital Region,7,0,0,1
1080822433425297408,Modi Sarkar is proving one thing time and again....No minister is accountable for his/her own ministry but only answers for issues for every other ministry @arunjaitley @RahulGandhi @nsitharaman @narendramodi,Thu Jan 03 13:45:23 +0000 2019,2616,566,141,False,0,,Mumbai,2,4,0,0
1080814552873295873,The real face of so called torchbearer of Lynchistan.,Thu Jan 03 13:14:04 +0000 2019,224,7530,297,False,0,,New Delhi,17,0,0,0
1080806969978564609,I truly pity those who still support Rahul Gandhi for the P.M post. He's not even qualified enough for the principal's post of a school. What a total dumbass he is!! Why would he point out false statements in the Lok Sabha and make a mockery of himself.,Thu Jan 03 12:43:56 +0000 2019,129,188,66,False,0,,Unknown,2,0,0,0
1080801403075997698,"Rafale debate in Lok sabha, Rahul Ji should respect the speaker, He continues disrespect the Lok sabha constitutes.",Thu Jan 03 12:21:49 +0000 2019,163,102,12,False,0,,India ,3,0,0,0
1080798142449287168,Extremely arrogant behavior of with the speaker - in . 'AA bol du?'. 5 times he shamelessly asked but didn't hear that she said 'NO'. Isn't this arrogance? is he def? Every such act of Rahul worsen the image of his party &amp; family.,Thu Jan 03 12:08:52 +0000 2019,0,22,0,False,0,,Unknown,3,0,0,0
1080797087011229696,The party may be flexing its muscles and reiterating that it should not contest less than 12 seats out of 40 constituencies in .,Thu Jan 03 12:04:40 +0000 2019,586,147028,26228,False,0,,India,3,0,0,1
1080793673837686785,"Ahead of 2019 elections, jolt to as not to join ''",Thu Jan 03 11:51:06 +0000 2019,3,185886,8030794,False,0,,India,4,0,0,1
