id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1086008863415885824,dear leaders fasttrack courts fo…,Thu Jan 17 21:14:24 +0000 2019,7278,3364,495,False,3,dear leaders fasttrack courts cases violence children needed sign petition via,Bengaluru India,1,5,0,0
1085872940531494912,strongly citizenship amendment,Thu Jan 17 12:14:18 +0000 2019,66,503,29,False,2,strongly citizenship amendment,Unknown,0,3,0,0
1085583288754876416,fasttrack courts cases viol…,Wed Jan 16 17:03:19 +0000 2019,241,214,38,False,9,fasttrack courts cases violence children sign petition via,Ghaziabad,1,5,0,0
1085953079814479873,sonia gandhi son mota son dont know anything,Thu Jan 17 17:32:44 +0000 2019,8935,8714,156,False,6,sonia gandhi son mota son dont know anything,Imphal,2,1,0,0
1085938723307413504,reason admire politicians particularly shoul…,Thu Jan 17 16:35:42 +0000 2019,11859,2395,126,False,3,reason admire politicians particularly should follow decent,Jharkhand India,1,3,0,0
1085873648043466752,modi,Thu Jan 17 12:17:06 +0000 2019,387,1582,4926,False,1,modi,India,2,5,0,0
1085520130300432384,considered serving politician india honoured fi…,Wed Jan 16 12:52:21 +0000 2019,5309,95364,314565,False,7,considered serving politician india honoured world making allegation right,Unknown,2,2,0,0
1085183983481024513,pm gets award makes fun jokes,Tue Jan 15 14:36:38 +0000 2019,4015,2408,128,False,2,pm gets award makes fun jokes,New Delhi India,3,3,0,0
1085177122614697984,spot difference pic ji doha pic pradhan sevak understand re…,Tue Jan 15 14:09:22 +0000 2019,51996,38450,4163,False,342,spot difference pic ji doha pic pradhan sevak understand real pain nris working across pm hails,Silchar India,1,2,0,0
1084893038566989824,mod fantastic work answering questions relevant to…,Mon Jan 14 19:20:31 +0000 2019,13226,9019,100,False,1,mod fantastic work answering questions relevant dept turn taking lying corrupt time termed shielding pm comments patriarchal misogynist&amp;he must learn,Unknown,1,4,0,0
1084848434077560833,,Mon Jan 14 16:23:16 +0000 2019,3104,13575,3028,False,3,ji dissent gets audience dissent gets trp news channels partiality should charged indian police months general elections,Mumbai,0,11,0,0
1084816073466118144,interesting sounds pros cons,Mon Jan 14 14:14:41 +0000 2019,1,5,18,False,21,interesting sounds pros cons tells sure retweet post share information everyone know,Chengannur,2,3,0,0
1084292954645299200,wasnt politician fighting people,Sun Jan 13 03:36:00 +0000 2019,3953,46650,3750,False,5,wasnt politician fighting people choice learning defeat others field,Midtown Manhattan,1,4,0,0
1084112769467600896,show light diwali deaf,Sat Jan 12 15:40:00 +0000 2019,38606,33325,2927,False,1,show light diwali deaf,Jaipur Rajasthan,1,2,0,0
1086050514372947968,ppl vote anyone else pity govt trusted world,Thu Jan 17 23:59:55 +0000 2019,938,92,99,False,2854,ppl vote anyone else pity govt trusted world,bangalore ,0,3,0,0
1086043916330258433,moreover money didnt come personal thi…,Thu Jan 17 23:33:42 +0000 2019,6102,6987,2418,False,1,moreover money didnt come personal tax payers money looted frm govt schemes govt projects sonias cud mainly frm defense deals,Mumbai,0,5,0,0
1086034249516441601,know winking classy depends educational…,Thu Jan 17 22:55:17 +0000 2019,29599,24150,171,False,5,know winking classy depends educational,Unknown,0,5,0,0
